Block number, timestamp, reserve A, reserve B, price
7866596,1665421773,3667899.420877,66713797.578032,18.188556970321894
7866635,1665422451,3665708.14342,66753797.578032,18.210341621947194
7866664,1665423007,3665161.868398,66743849.723262,18.210341621947236
7866670,1665423096,3662973.211731,66783849.723262,18.232142541851175
7866681,1665423339,3662945.870113,66784349.723262,18.232415135635552
7866688,1665423473,3662222.559772,66797579.712298,18.23962870144534
7866700,1665423785,3660037.416347,66837579.712298,18.261447113567232
7866718,1665424156,3658669.686003,66862640.970236,18.275123667499393
7866750,1665424833,3658373.039781,66868078.970236,18.27809199420486
7866916,1665428399,3658575.039781,66864398.074811,18.276076709585123
7866926,1665428672,3658925.039781,66858021.246057,18.272585669057243
7866931,1665428812,3659274.023164,66864398.074819,18.272585669056983
7867006,1665430060,3659424.023164,66861665.521309,18.271089957894322
7867223,1665434725,3662170.875305,66811665.521309,18.243732418887927
7867314,1665436551,3662570.875305,66804390.713027,18.239753710558265
7867445,1665439432,3662480.687164,66806040.713027,18.240653376593638
7867540,1665441424,3663580.767706,66786040.713027,18.229717030326583
7867591,1665442510,3662580.767706,66804330.276034,18.239687944923013
7867681,1665444605,3602531.856642,65709056.876791,18.23968794492212
7867814,1665447301,3601090.329286,65682763.867642,18.23968794491893
7867819,1665447338,3598131.742432,65737592.884069,18.269923835428145
7867847,1665447690,3608101.742432,65556488.510321,18.16924609951087
7867864,1665448042,3606552.236251,65584738.715783,18.184885291986824
7867890,1665448514,3606552.236251,65685886.934444,18.212930974410142
7868024,1665450845,3607827.236251,65662743.269191,18.200079707093487
7868074,1665451665,3604153.676416,65729871.883458,18.23725561802912
7868079,1665451769,3599758.331622,65649712.856913,18.23725561802705
7868094,1665452125,3599745.257208,65649952.016695,18.237388294418864
7868102,1665452310,3597930.985596,65683155.88873,18.255813174762586
7868121,1665452747,3570712.680907,66185897.172936,18.53576669073359
7868121,1665452747,3565712.586497,66278429.287981,18.58770937931757
7868138,1665453230,3570942.401452,66181652.172936,18.53338551359034
7868143,1665453328,3570880.661355,66182799.888891,18.534027363372427
7868188,1665454197,3571125.661355,66178272.984359,18.531488180466
7868203,1665454450,3575405.661355,66099290.535868,18.487214262232225
7868506,1665461194,3578419.661355,66043783.884168,18.45613151453565
7868649,1665464128,3578474.661355,66042771.857705,18.455565040300637
7868675,1665464508,3578366.621326,66044771.857705,18.456681175175795
7868698,1665464998,3578339.612341,66045271.857705,18.456960214152858
7868712,1665465218,3588339.612341,65861767.246466,18.35438513677873
7868761,1665466181,3588914.612341,65851246.817076,18.3485131105201
7868833,1665467381,3587318.403235,65880636.080571,18.364869987888625
7869008,1665471148,3577650.960345,66059192.830571,18.4644040357142
7869139,1665473930,3580667.34511,66003710.808386,18.43335458082279
7869315,1665478236,3578701.654737,66040074.068386,18.453640576875443
7869361,1665479030,3578974.469769,66045108.49893,18.453640576875305
7869379,1665479311,3579200.469769,66040950.749488,18.45131372419334
7869407,1665479929,3579365.469769,66037915.555626,18.449615193915324
7869524,1665482229,3579141.893288,66042053.126051,18.451923699895865
7869580,1665483642,3578856.959499,66036795.549509,18.45192369989367
7869778,1665487635,3578938.498299,66035295.549509,18.4510841918335
7869927,1665490422,3578963.498299,66034835.659439,18.450826808047598
7870093,1665493738,3579163.498299,66031156.769541,18.448767931647257
7870172,1665495112,3579201.498299,66030457.826918,18.44837678412313
7870202,1665495600,3587121.498299,65885105.684225,18.367124089738102
7870331,1665498167,3594585.668172,65748704.795004,18.291038485233827
7870332,1665498171,3597183.468172,65701364.994351,18.264668893226848
7870336,1665498211,3596507.120291,65713757.765901,18.271549469526416
7870338,1665498258,3592366.887411,65789721.31192,18.313753403771713
7870391,1665499539,3592632.887411,65784864.826414,18.311045655939896
7870398,1665499697,3592088.489816,65794864.826414,18.31660467523289
7870410,1665499901,3593088.489816,65776608.23875,18.30642591330067
7870450,1665500732,3592234.75371,65792287.84875,18.31514150927938
7870510,1665502097,3592198.319776,65792957.156111,18.315513593418103
7870747,1665506817,3597198.319776,65701780.84891,18.264709089767756
7870886,1665509643,3594171.665172,65757274.84891,18.29552981180802
7870939,1665510819,3593633.343257,65767154.84891,18.301019766614136
7870975,1665511633,3594033.343256,65774475.256816,18.30101976661905
7871099,1665514165,3593786.744203,65779002.161348,18.303535196531513
7871202,1665516282,3609786.744203,65488314.464306,18.141879037445765
7871238,1665517119,3639815.998318,64950266.073219,17.844381722381915
7871244,1665517200,3639753.925666,64951377.073219,17.84499128229781
7871246,1665517240,3621783.785437,65274615.984717,18.022780997359025
7871383,1665519927,3622983.785437,65253060.650002,18.010861906778104
7871435,1665520901,3622430.31515,65263060.650002,18.016374359792078
7871490,1665522375,3622690.93278,65267756.034788,18.016374359791847
7871546,1665523337,3620766.277716,65302554.169134,18.03556185635026
7871574,1665523942,3620533.179692,65306771.144565,18.03788776495087
7871700,1665526690,3645729.351643,64856771.144565,17.789793176867715
7871739,1665527455,3647931.985781,64895955.550324,17.789793176867626
7871764,1665527957,3646974.122199,64878915.355309,17.789793176867743
7871768,1665528054,3645666.206698,64855647.809044,17.789793176865167
7871769,1665528115,3645025.444883,64867083.139044,17.796057701080365
7871804,1665528899,3641012.131789,64938798.159623,17.835369894171574
7871858,1665529756,3641092.131789,64937375.641682,17.834587341182143
7872057,1665533909,3643092.131789,64901832.939055,17.815040243625102
7872113,1665535312,3640853.927921,64941851.198047,17.836983434029193
7872150,1665536130,3640295.062704,64951851.198047,17.8424688326778
7872161,1665536338,3640418.739233,64949651.198047,17.84125834154212
7872271,1665538519,3640353.63893,64950816.185113,17.84189741637404
7872388,1665541144,3640483.63893,64948503.77912,17.840625098430458
7872399,1665541329,3642483.63893,64912949.047047,17.821068117718585
7872485,1665543112,3639688.53447,64962949.047047,17.848491273857505
7872496,1665543455,3640088.53447,64955831.848558,17.844574722140823
7872605,1665545540,3640288.53447,64952273.835263,17.842616930012003
7872628,1665546060,3637904.291436,64994970.942715,17.866047519644713
7872664,1665547053,3635921.941126,65030513.645342,17.885563743759267
7872709,1665548009,3636061.941126,65028017.274189,17.88418853339209
7872833,1665550384,3635796.474917,65032779.555413,17.886804171814266
7872837,1665550514,3635896.474917,65030996.289938,17.885821760484124
7873120,1665556728,3634923.515524,65013594.111639,17.88582176047983
7873353,1665561077,3635923.515524,64995766.837074,17.87599947016679
7873391,1665561848,3635933.515524,64995588.613848,17.875901288167814
7873553,1665564812,3633789.175696,65034058.651217,17.897036813854413
7873565,1665565231,3633817.197563,65033558.651217,17.896761206048396
7873648,1665567058,3633705.784172,65035558.651217,17.897860342602403
7873952,1665573682,3633745.150357,65036263.221698,17.897860342602304
7873974,1665573977,3633835.150357,65034657.286346,17.896975122813917
7874141,1665577620,3633985.150357,65031980.903863,17.895499902489778
7874176,1665578316,3634285.150357,65026628.800355,17.89255000917233
7874180,1665578415,3634385.150357,65026628.800355,17.89205769618763
7874186,1665578552,3631870.401209,65071789.473625,17.916880914022563
7874190,1665578584,3632430.29955,65061789.473625,17.91136625021686
7874232,1665579339,3634671.616137,65021789.473625,17.88931610353604
7874239,1665579466,3660187.953146,64570140.931155,17.6412090738826
7874243,1665579659,3650294.195168,64745678.464207,17.737112408614276
7874275,1665580429,3650153.676013,64748178.464207,17.73848013295986
7874288,1665580824,3620025.356111,65288678.464207,18.03542020886471
7874298,1665581055,3620125.356111,65286880.382334,18.034425319588898
7874307,1665581262,3624697.356111,65204777.729578,17.989026758233223
7874400,1665583043,3624827.356111,65202446.255188,17.987738407807182
7874426,1665583663,3601426.037937,65627393.045093,18.222613029889196
7874428,1665583708,3583465.177621,65957537.726881,18.40607748577846
7874430,1665583749,3586338.410866,65904853.543611,18.376641017459594
7874565,1665586076,3586302.846265,65905509.074605,18.377006042097957
7874666,1665587870,3584724.945169,65934606.227802,18.393212097530554
7874674,1665588029,3584824.945169,65936445.549011,18.393212097530345
7874678,1665588094,3584840.663147,65936734.653114,18.393212097530316
7874680,1665588149,3590302.093707,65836734.653114,18.337380235638424
7874693,1665588336,3590106.342998,65833145.097916,18.33738023563406
7874700,1665588547,3590506.342998,65840480.05001,18.33738023563399
7874750,1665589722,3592486.342998,65804300.852501,18.31720278652083
7874762,1665589920,3592486.342998,65840480.058398,18.32727358497147
7874808,1665590849,3597786.342998,65743779.147046,18.273397272463477
7874820,1665591040,3598331.881385,65753747.986719,18.27339727246347
7874870,1665592010,3595307.317431,65809229.986719,18.30420160959773
7874882,1665592174,3595280.083454,65809729.986719,18.304479333775667
7874922,1665593089,3595780.083454,65800606.468784,18.29939677667325
7874938,1665593349,3598080.083454,65800606.468784,18.28769925699327
7874939,1665593378,3598058.548706,65801001.477162,18.287918494496584
7875129,1665596809,3598084.548706,65800527.421155,18.287654592446756
7875205,1665598334,3598002.774086,65802027.421155,18.28848712821537
7875212,1665598431,3597751.096706,65806644.39258,18.291049776297953
7875259,1665599175,3597558.428029,65810179.298402,18.293011945453664
7875301,1665599889,3577422.791967,66181708.538402,18.49982861601126
7875312,1665600066,3581490.791967,66106761.975923,18.457889693363228
7875342,1665600765,3581590.791967,66104921.775548,18.456860544708782
7875347,1665600959,3581461.369866,66107317.775548,18.45819651491073
7875360,1665601202,3581536.369866,66105937.59272,18.457424626178874
7875381,1665601641,3584556.369866,66050410.075707,18.426383423892464
7875504,1665603821,3584656.369866,66048573.016376,18.425356910527242
7875515,1665604221,3580496.350178,66125542.829391,18.468261481708716
7875586,1665605831,3580501.781175,66125442.829391,18.468205539529396
7875602,1665606266,3580624.781175,66123178.132443,18.466938641569794
7875662,1665607518,3577014.940762,66056515.431022,18.466938641567484
7875675,1665607689,3573419.547373,66123178.132443,18.504174294634243
7875703,1665608343,3573311.726823,66125179.326479,18.50529267573034
7875765,1665609714,3573561.726823,66120567.20399,18.5027074550558
