,user,COLLATERAL_ETH,NO_CF_COLLATERAL_ETH,COLLATERAL_VST,NO_CF_COLLATERAL_VST,user_collateral,user_no_cf_collateral,DEBT_VST,DEBT_ETH,user_debt,COLLATERAL_gOHM,NO_CF_COLLATERAL_gOHM,DEBT_gOHM,COLLATERAL_renBTC,NO_CF_COLLATERAL_renBTC,DEBT_renBTC,COLLATERAL_GMX,NO_CF_COLLATERAL_GMX,DEBT_GMX,COLLATERAL_DPX,NO_CF_COLLATERAL_DPX,DEBT_DPX
10,0x8BccbA207bB5598E49F997C4c6c5Ad03Fb7Fe3E3_0x0000000000000000000000000000000000000000,4047.327272727272,4452.0599999999995,0.0,0.0,4047.327272727272,4452.0599999999995,1202.4912465114712,0.0,1202.4912465114712,,,,,,,,,,,,
11,0xDB0132c875eA7A00c4a6283da592ae6500205396_0x0000000000000000000000000000000000000000,1618.930909090909,1780.8239999999998,0.0,0.0,1618.930909090909,1780.8239999999998,487.2754217385017,0.0,487.2754217385017,,,,,,,,,,,,
12,0xc0fAC9BBAF3bD725d9347AE6ee09A333659135A3_0x0000000000000000000000000000000000000000,161893.0909090909,178082.4,0.0,0.0,161893.0909090909,178082.4,49197.99999999999,0.0,49197.99999999999,,,,,,,,,,,,
13,0x4dD06d3f05d573DB027459E8DC942e37249D71A8_0x0000000000000000000000000000000000000000,1349.1090909090908,1484.02,0.0,0.0,1349.1090909090908,1484.02,432.0855445276499,0.0,432.0855445276499,,,,,,,,,,,,
14,0xDD2A7Af04425BeF8b77890423b3591c475E21A21_0x0000000000000000000000000000000000000000,8094.654545454544,8904.119999999999,0.0,0.0,8094.654545454544,8904.119999999999,2708.5012000031415,0.0,2708.5012000031415,,,,,,,,,,,,
15,0x2067BEd542762D26E2755Ce7d8776728F3429f48_0x0000000000000000000000000000000000000000,1349.1090909090908,1484.02,0.0,0.0,1349.1090909090908,1484.02,452.1013768815683,0.0,452.1013768815683,,,,,,,,,,,,
16,0xE222a6f5103FDfDA1754E13C2a7E8cE790CF17D7_0x0000000000000000000000000000000000000000,60709.90909090908,66780.9,0.0,0.0,60709.90909090908,66780.9,20507.22480899017,0.0,20507.22480899017,,,,,,,,,,,,
17,0xC3598d91844B061195136600AD243b077Cc164e2_0x0000000000000000000000000000000000000000,13491.09090909091,14840.2,0.0,0.0,13491.09090909091,14840.2,4700.0,0.0,4700.0,,,,,,,,,,,,
18,0x5ACc2C3860678FC6a7CD3b8d1e48Ff06801bb0B4_0x0000000000000000000000000000000000000000,1349.1090909090908,1484.02,0.0,0.0,1349.1090909090908,1484.02,472.2016471209613,0.0,472.2016471209613,,,,,,,,,,,,
19,0x459FAa069f0a482DbE0577b3B3695cb15F0Df7fF_0x0000000000000000000000000000000000000000,1281.6536363636362,1409.819,0.0,0.0,1281.6536363636362,1409.819,462.15182078101674,0.0,462.15182078101674,,,,,,,,,,,,
20,0x505E7aF16C58e0A0ADbcEEAE2F89cD976C27E6Cf_0x0000000000000000000000000000000000000000,2698.2181818181816,2968.04,0.0,0.0,2698.2181818181816,2968.04,1000.0000000000001,0.0,1000.0000000000001,,,,,,,,,,,,
21,0xaaDaD1E9D6933975E5077DBEc7C2b9B528cd2973_0x0000000000000000000000000000000000000000,21585.745454545453,23744.32,0.0,0.0,21585.745454545453,23744.32,8070.0358241946615,0.0,8070.0358241946615,,,,,,,,,,,,
22,0x1473A0d2BEb958077382fFE1d0ef83946f8147FB_0x0000000000000000000000000000000000000000,13491.09090909091,14840.2,0.0,0.0,13491.09090909091,14840.2,5055.0,0.0,5055.0,,,,,,,,,,,,
23,0x9828c2028705969F7DeDE5FE61B187F930726B2c_0x0000000000000000000000000000000000000000,21585.745454545453,23744.32,0.0,0.0,21585.745454545453,23744.32,8113.0,0.0,8113.0,,,,,,,,,,,,
24,0xC16702DCF983631bEf321Ed88824711B92e4fc14_0x0000000000000000000000000000000000000000,944.3763636363635,1038.8139999999999,0.0,0.0,944.3763636363635,1038.8139999999999,365.9825875181982,0.0,365.9825875181982,,,,,,,,,,,,
25,0x9367EFAe9e8E312bcd80fD6AcF581f2253061ca4_0x0000000000000000000000000000000000000000,5261.5254545454545,5787.678,0.0,0.0,5261.5254545454545,5787.678,2070.0,0.0,2070.0,,,,,,,,,,,,
